PID,Name,Price,Category,Quantity,Nutritional Unit,Nutri_Key,Calories (g),Protein (g),Total_Fat (g),Saturated_Fat (g),Carbohydrates (g),Sugar (g),Fiber (g),Sodium (mg)
1,Spaghetti 500g EXTRA,90.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
2,FUSILLI 500g Garrido,115.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
3,NIDI 500G محبوبة,180.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
4,GNOCCHETTI  500G البركة,110.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
5,CHAKHCHOUKHA 500G البركة,110.0,Pâtes et Couscous,500 g,per 100 g,cabbage,25.0,1.3,0.1,0.0,5.8,3.2,2.5,18.0
6,LASAGNE 500G البركة,300.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
7,FLAMINGO 500G البركة,85.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
8,PLOMB 500G البركة,90.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
9,COUSCOUS GROS 1KG البركة,170.0,Pâtes et Couscous,1000 g,per 100 g,couscous,376.0,12.8,0.6,0.1,77.4,0.4,2.8,10.0
10,COUSCOUS MOYEN 1KG البركة,170.0,Pâtes et Couscous,1000 g,per 100 g,couscous,376.0,12.8,0.6,0.1,77.4,0.4,2.8,10.0
11,COUSCOUS FIN  1KG البركة,170.0,Pâtes et Couscous,1000 g,per 100 g,couscous,376.0,12.8,0.6,0.1,77.4,0.4,2.8,10.0
12,SPAGHETTI 7 500G البركة,85.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
13,COUDE N4 500G البركة,90.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
