Name,Type,Category,PIDs,Quantities
Chickpea with Tomato and Coriander Bowl,Lunch,Vegetarian,"84;262;202;320","120 g;100 g;8 g;10 ml"
Lentil and Vegetables Soup,Lunch,Vegetarian,"86;191;262;227;320","110 g;80 g;100 g;60 g;8 ml"
Rice with Peas and Carrots,Lunch,Vegetarian,"81;240;191;227;320","180 g;90 g;80 g;40 g;10 ml"
Zucchini Chickpea Skillet,Lunch,Vegetarian,"84;204;262;320","120 g;120 g;80 g;10 ml"
Broccoli Cauliflower Rice Bowl,Lunch,Vegetarian,"81;188;195;227;320","180 g;100 g;100 g;40 g;10 ml"
Potato Carrot Pea Pan,Dinner,Vegetarian,"249;191;240;227;320","150 g;90 g;80 g;50 g;10 ml"
Eggplant Tomato Skillet,Dinner,Vegetarian,"184;262;227;320","150 g;120 g;60 g;10 ml"
Green Bean Rice Bowl,Dinner,Vegetarian,"81;214;262;320","180 g;110 g;90 g;10 ml"
Cucumber and Olive Salad,Lunch,Vegetarian,"201;259;228;223;320","120 g;100 g;35 g;6 g;8 ml"
Beet Carrot Salad,Breakfast,Vegetarian,"187;191;223;320","100 g;80 g;5 g;6 ml"
Loubia with Tomato Bowl,Lunch,Vegetarian,"79;262;227;320","120 g;120 g;60 g;10 ml"
Stuffed Pepper Rice,Dinner,Vegetarian,"81;247;262;227;320","180 g;120 g;100 g;50 g;10 ml"
Chickpea Spinach Rice,Dinner,Vegetarian,"81;84;207;227;320","180 g;120 g;100 g;40 g;10 ml"
Couscous with Vegetables,Lunch,Vegetarian,"9;191;204;84;162","250 g;150 g;120 g;80 g;15 ml"
Chtitha Batata,Lunch,Vegetarian,"179;241;320;249;108","12 g;5 g;30 ml;1000 g;16 g"
Flafla,Dinner,Vegetarian,"248;320;227;179;262","400 g;15 ml;15 g;3 g;60 g"
Tastira,Dinner,Vegetarian,"179;320;241;248;262;313","12 g;45 ml;50 g;220 g;360 g;200 g"
Tomato and Garlic Pasta,Lunch,Vegetarian,"262;12;320;179;108","910 g;250 g;15 ml;12 g;15 g"
Spaghetti Bolognese,Lunch,Vegetarian,"238;320;179;310;262;108;12","150 g;5 ml;1 g;150 g;130 g;5 g;150 g"
Gratin,Dinner,Vegetarian,"238;249;320;309;240","200 g;250 g;10 ml;160 g;7 g"
Scalloped Potatoes,Lunch,Vegetarian,"72;179;289;75;249","15 g;6 g;8 g;240 ml;500 g"
Pizza,Lunch,Vegetarian,"101;289;320;262","4 g;220 g;25 ml;200 g"
Fried Rice,Lunch,Vegetarian,"81;191;163;238;179;313;240","400 g;120 g;15 ml;100 g;6 g;100 g;75 g"
