Name,Type,Category,PIDs,Quantities
Couscous Tfaya,Lunch,Traditional,"9;84;191;204;162;152","200 g;150 g;100 g;100 g;15 ml;2 g"
Chorba Frik,Lunch,Traditional,"110;9;191;84;152;200","150 g;100 g;80 g;100 g;2 g;15 ml"
Rechta,Dinner,Traditional,"1;110;191;84;162;152","200 g;100 g;80 g;100 g;15 ml;2 g"
Berkoukes,Lunch,Traditional,"9;110;191;84;204;152","150 g;100 g;80 g;100 g;100 g;2 g"
Chakhchoukha,Dinner,Traditional,"9;110;191;84;162;152","200 g;120 g;80 g;100 g;15 ml;2 g"
Dolma,Dinner,Traditional,"110;191;9;146;162;152","150 g;80 g;100 g;50 g;15 ml;2 g"
Mhajeb,Breakfast,Traditional,"204;191;200;162;152","150 g;80 g;50 g;15 ml;1 g"
Bourek,Breakfast,Traditional,"110;200;191;162;146;152","100 g;50 g;80 g;15 ml;30 g;1 g"
Harira,Dinner,Traditional,"110;84;191;204;162;152","150 g;100 g;80 g;100 g;15 ml;2 g"
Lham Lahlou,Dinner,Traditional,"110;162;191;84;152","200 g;15 ml;50 g;80 g;2 g"
Tastira,Lunch,Traditional,"191;200;162;204;152","150 g;100 g;15 ml;100 g;2 g"
Couscous Seffa,Dinner,Traditional,"9;162;191;152;3","200 g;15 ml;50 g;2 g;30 g"
Garantita,Breakfast,Traditional,"162;191;200;152;204","150 g;80 g;50 g;1 g;30 g"
Mderbel,Lunch,Traditional,"191;84;204;162;152","100 g;100 g;100 g;15 ml;2 g"
Chekhchoukha,Dinner,Traditional,"9;110;191;84;162;152","200 g;120 g;80 g;100 g;15 ml;2 g"
Chicken Mchermel,Dinner,Traditional,"110;191;84;162;152;200","200 g;80 g;100 g;15 ml;2 g;50 g"
Tajine Zitoun,Lunch,Traditional,"110;146;191;162;152;84","200 g;80 g;80 g;15 ml;2 g;50 g"
Baghrir,Breakfast,Traditional,"9;3;162;191;152","150 g;2;15 ml;50 g;1 g"
Aiche,Dinner,Traditional,"9;110;84;191;162;152","200 g;150 g;100 g;80 g;15 ml;2 g"
Hamsa,Lunch,Traditional,"110;9;191;84;204;162","150 g;100 g;80 g;100 g;100 g;15 ml"
